rank,entry,origin,package,n_lines,stdin,want_rc,modes,heap_kb,stack_kb
313,iso7185prt1746b,pat__iso7185prt1746b,pat,27,0,0,"m3,m4",,
314,iso7185prt1748,pat__iso7185prt1748,pat,22,0,0,"m3,m4",,
315,iso7185prt1749,pat__iso7185prt1749,pat,19,0,0,"m3,m4",,
316,iso7185prt1750,pat__iso7185prt1750,pat,19,0,0,"m3,m4",,
317,iso7185prt1751,pat__iso7185prt1751,pat,26,0,0,"m3,m4",,
318,iso7185prt1752,pat__iso7185prt1752,pat,20,0,0,"m3,m4",,
319,iso7185prt1753,pat__iso7185prt1753,pat,20,0,0,"m3,m4",,
320,iso7185prt1754,pat__iso7185prt1754,pat,23,0,0,"m3,m4",,
321,iso7185prt1755,pat__iso7185prt1755,pat,23,0,0,"m3,m4",,
322,iso7185prt1756,pat__iso7185prt1756,pat,23,0,0,"m3,m4",,
323,iso7185prt1757,pat__iso7185prt1757,pat,24,0,0,"m3,m4",,
324,iso7185prt1758a,pat__iso7185prt1758a,pat,26,0,0,"m3,m4",,
325,iso7185prt1758b,pat__iso7185prt1758b,pat,26,0,0,"m3,m4",,
326,iso7185prt1759,pat__iso7185prt1759,pat,23,0,0,"m3,m4",,
327,iso7185prt1760,pat__iso7185prt1760,pat,22,0,0,"m3,m4",,
328,iso7185prt1761,pat__iso7185prt1761,pat,17,0,0,"m3,m4",,
329,iso7185prt1762,pat__iso7185prt1762,pat,18,0,0,"m3,m4",,
330,iso7185prt1763,pat__iso7185prt1763,pat,18,0,0,"m3,m4",,
331,iso7185prt1764,pat__iso7185prt1764,pat,18,0,0,"m3,m4",,
332,iso7185prt1765,pat__iso7185prt1765,pat,20,0,0,"m3,m4",,
333,iso7185prt1767,pat__iso7185prt1767,pat,17,0,0,"m3,m4",,
334,iso7185prt1800,pat__iso7185prt1800,pat,23,0,0,"m3,m4",,
335,iso7185prt1801,pat__iso7185prt1801,pat,23,0,0,"m3,m4",,
