rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
283,S03-operators/scalar-assign,roast__S03-operators/scalar-assign,roast,26,0,0,,
284,S03-operators/set_addition,roast__S03-operators/set_addition,roast,260,0,0,,
285,S03-operators/set_difference,roast__S03-operators/set_difference,roast,272,0,0,,
286,S03-operators/set_elem,roast__S03-operators/set_elem,roast,163,0,0,,
287,S03-operators/set_equality,roast__S03-operators/set_equality,roast,413,0,0,,
288,S03-operators/set_intersection,roast__S03-operators/set_intersection,roast,237,0,0,,
289,S03-operators/set_multiply,roast__S03-operators/set_multiply,roast,270,0,0,,
290,S03-operators/set_proper_subset,roast__S03-operators/set_proper_subset,roast,438,0,0,,
291,S03-operators/set_subset,roast__S03-operators/set_subset,roast,434,0,0,,
292,S03-operators/set_symmetric_difference,roast__S03-operators/set_symmetric_difference,roast,278,0,0,,
293,S03-operators/set_union,roast__S03-operators/set_union,roast,224,0,0,,
294,S03-operators/short-circuit,roast__S03-operators/short-circuit,roast,304,0,0,,
295,S03-operators/so,roast__S03-operators/so,roast,27,0,0,,
296,S03-operators/spaceship-and-containers,roast__S03-operators/spaceship-and-containers,roast,16,0,0,,
297,S03-operators/spaceship,roast__S03-operators/spaceship,roast,34,0,0,,
298,S03-operators/subscript-adverbs,roast__S03-operators/subscript-adverbs,roast,322,0,0,,
299,S03-operators/subscript-vs-lt,roast__S03-operators/subscript-vs-lt,roast,20,0,0,,
300,S03-operators/ternary,roast__S03-operators/ternary,roast,138,0,0,,
301,S03-operators/u2212-minus,roast__S03-operators/u2212-minus,roast,114,0,0,,
302,S03-operators/value_equivalence,roast__S03-operators/value_equivalence,roast,142,0,0,,
303,S03-sequence/arity-2-or-more,roast__S03-sequence/arity-2-or-more,roast,53,0,0,,
304,S03-sequence/arity0,roast__S03-sequence/arity0,roast,40,0,0,,
305,S03-sequence/basic,roast__S03-sequence/basic,roast,290,0,0,,
306,S03-sequence/exhaustive,roast__S03-sequence/exhaustive,roast,479,0,0,,
307,S03-sequence/limit-arity-2-or-more,roast__S03-sequence/limit-arity-2-or-more,roast,34,0,0,,
308,S03-sequence/misc,roast__S03-sequence/misc,roast,138,0,0,,
309,S03-sequence/nonnumeric,roast__S03-sequence/nonnumeric,roast,117,0,0,,
