name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
TEMP.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TEMP.sno:7: Error 32 in statement 0 at level 0	
TEST_driver.sno	OK	OK	NO_ORACLE			
TEST.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TEST.sno:14: Error 32 in statement 0 at level 0	
TICTACTO_driver.sno	OK	OK	NO_ORACLE			
TICTACTO.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TICTACTO.sno:53: Error 32 in statement 0 at level 0	
TIMEGC_driver.sno	ERR	ERR	NO_ORACLE	rc=1 TIMEGC.sno(6,10) : ERROR 285 -- include file cannot be opened	rc=1 TIMEGC.sno:6: Error 30 in statement 0 at level 0	
TIMEGC.sno	ERR	ERR	NO_ORACLE	rc=1 TIMEGC.sno(6,10) : ERROR 285 -- include file cannot be opened	rc=1 TIMEGC.sno:6: Error 30 in statement 0 at level 0	
TIMER_driver.sno	ERR	ERR	NO_ORACLE	rc=1 TIMER.sno(5,10) : ERROR 285 -- include file cannot be opened	rc=1 TIMER.sno:5: Error 30 in statement 0 at level 0	
TIMER.sno	ERR	ERR	NO_ORACLE	rc=1 TIMER.sno(5,10) : ERROR 285 -- include file cannot be opened	rc=1 TIMER.sno:5: Error 30 in statement 0 at level 0	
TPROFILE_driver.sno	OK	OK	NO_ORACLE			
TPROFILE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TPROFILE.sno:17: Error 32 in statement 0 at level 0	
TR_driver.sno	OK	OK	NO_ORACLE			
TREE_driver.sno	OK	OK	NO_ORACLE			
TREEREAD_driver.sno	OK	OK	NO_ORACLE			
TREEREAD.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TREEREAD.sno:18: Error 32 in statement 0 at level 0	
TREE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TREE.sno:19: Error 32 in statement 0 at level 0	
TRIG_driver.sno	OK	OK	NO_ORACLE			
TRIG.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TRIG.sno:35: Error 32 in statement 0 at level 0	
TR.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TR.sno:54: Error 32 in statement 0 at level 0	
TRUNC_driver.sno	OK	OK	NO_ORACLE			
TRUNC.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TRUNC.sno:12: Error 32 in statement 0 at level 0	
TSORT_driver.sno	OK	OK	NO_ORACLE			
TSORT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TSORT.sno:56: Error 32 in statement 0 at level 0	
TUPLE_driver.sno	OK	OK	NO_ORACLE			
TUPLE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 TUPLE.sno:80: Error 32 in statement 0 at level 0	
UPLO_driver.sno	OK	OK	NO_ORACLE			
UPLO.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 UPLO.sno:10: Error 32 in statement 0 at level 0	
VISIT_driver.sno	OK	OK	NO_ORACLE			
VISIT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 VISIT.sno:39: Error 32 in statement 0 at level 0	
